feature,importance
washitsu__pir_http_0702__mean5s__r15m,0.0
is_occ_living__r15m,0.0
is_occ_sleeping_room__r15m,0.0
is_occ_washitsu__r15m,0.0
sleeping_room__Number of People__r15m,0.0
sleeping_room__Occupied__r15m,0.0
sleeping_room__sound_trig_door__r15m,0.0
washitsu__sen55_voc__diff60s__r5s,0.0
washitsu__sen55_temp__diff60s__r5s,0.0
living__pir_http_1921682115000702__diff10s__r15m,0.0
living__sound_amp_pir__mean60s__r5s,0.0
living__Occupied__mean60s__r5s,0.0
living__pir_http_1921682113000702__mean60s__r5s,0.0
living__pir_http_1921682113000701__mean60s__r5s,0.0
living__pir_http_1921682114000702__mean60s__r5s,0.0
living__pir_http_1921682114000701__mean60s__r5s,0.0
living__pir_http_1921682115000701__mean60s__r5s,0.0
living__pir_http_1921682115000702__mean60s__r5s,0.0
living__thermal-1__mean60s__r5s,0.0
living__mic_occupied__mean60s__r5s,0.0
living__sound_trig_pir__mean60s__r5s,0.0
living__pir2__mean60s__r5s,0.0
is_occ_living__mean60s__r5s,0.0
living__sound_trig_door__mean60s__r5s,0.0
living__sound_amp_door__mean60s__r5s,0.0
living__door__mean60s__r5s,0.0
living__sen55_nox__mean60s__r5s,0.0
living__sen55_voc__mean60s__r5s,0.0
living__sen55_hum__mean60s__r5s,0.0
living__sen55_temp__mean60s__r5s,0.0
living__sen55_pm10__mean60s__r5s,0.0
living__sen55_pm4__mean60s__r5s,0.0
living__sen55_pm2_5__mean60s__r5s,0.0
living__Number of People__mean60s__r5s,0.0
sleeping_room__pir_http_1921682121000702__mean60s__r5s,0.0
sleeping_room__pir_http_1921682121000701__mean60s__r5s,0.0
sleeping_room__co2(sleeping)__mean60s__r5s,0.0
is_occ_washitsu__mean60s__r5s,0.0
sleeping_room__Number of People__mean60s__r5s,0.0
sleeping_room__Occupied__mean60s__r5s,0.0
sleeping_room__pir2__mean60s__r5s,0.0
sleeping_room__sound_trig_door__mean60s__r5s,0.0
sleeping_room__sound_amp_door__mean60s__r5s,0.0
sleeping_room__door__mean60s__r5s,0.0
sleeping_room__sen55_nox__mean60s__r5s,0.0
sleeping_room__sen55_voc__mean60s__r5s,0.0
sleeping_room__sen55_hum__mean60s__r5s,0.0
sleeping_room__sen55_temp__mean60s__r5s,0.0
sleeping_room__sen55_pm10__mean60s__r5s,0.0
sleeping_room__sen55_pm4__mean60s__r5s,0.0
sleeping_room__sen55_pm2_5__mean60s__r5s,0.0
sleeping_room__sen55_pm1__mean60s__r5s,0.0
sleeping_room__scd40_hum__mean60s__r5s,0.0
sleeping_room__scd40_temp__mean60s__r5s,0.0
sleeping_room__scd40_co2__mean60s__r5s,0.0
sleeping_room__lux(sleeping)__mean60s__r5s,0.0
sleeping_room__humidity(sleeping)__mean60s__r5s,0.0
sleeping_room__temperature(sleeping)__mean60s__r5s,0.0
living__sen55_pm1__mean60s__r5s,0.0
living__scd40_hum__mean60s__r5s,0.0
living__scd40_temp__mean60s__r5s,0.0
washitsu__sound_amp_door__mean60s__r5s,0.0
washitsu__mic_occupied__mean60s__r5s,0.0
washitsu__sound_trig_pir__mean60s__r5s,0.0
washitsu__sound_amp_pir__mean60s__r5s,0.0
washitsu__pir2__mean60s__r5s,0.0
washitsu__pir_http_0701__mean60s__r5s,0.0
washitsu__pir_http_0702__mean60s__r5s,0.0
is_occ_living__diff30s__r5s,0.0
is_occ_sleeping_room__diff30s__r5s,0.0
is_occ_washitsu__diff30s__r5s,0.0
sleeping_room__Number of People__diff30s__r5s,0.0
sleeping_room__Occupied__diff30s__r5s,0.0
sleeping_room__pir2__diff30s__r5s,0.0
sleeping_room__sound_trig_door__diff30s__r5s,0.0
sleeping_room__sound_amp_door__diff30s__r5s,0.0
sleeping_room__door__diff30s__r5s,0.0
sleeping_room__sen55_nox__diff30s__r5s,0.0
sleeping_room__sen55_voc__diff30s__r5s,0.0
sleeping_room__sen55_hum__diff30s__r5s,0.0
sleeping_room__sen55_temp__diff30s__r5s,0.0
sleeping_room__sen55_pm10__diff30s__r5s,0.0
sleeping_room__sen55_pm4__diff30s__r5s,0.0
washitsu__door__mean60s__r5s,0.0
washitsu__sound_trig_door__mean60s__r5s,0.0
living__scd40_co2__mean60s__r5s,0.0
washitsu__scd40_co2__mean60s__r5s,0.0
living__lux(Living3)__mean60s__r5s,0.0
living__humidity(Living3)__mean60s__r5s,0.0
living__temperature(Living3)__mean60s__r5s,0.0
living__co2(Living3)__mean60s__r5s,0.0
living__lux(Living2)__mean60s__r5s,0.0
living__humidity(Living2)__mean60s__r5s,0.0
living__temperature(Living2)__mean60s__r5s,0.0
living__co2(Living2)__mean60s__r5s,0.0
washitsu__Number of People__mean60s__r5s,0.0
washitsu__Occupied__mean60s__r5s,0.0
washitsu__thermal-1__mean60s__r5s,0.0
washitsu__sen55_nox__mean60s__r5s,0.0
washitsu__sen55_voc__mean60s__r5s,0.0
washitsu__sen55_hum__mean60s__r5s,0.0
washitsu__sen55_temp__mean60s__r5s,0.0
washitsu__sen55_pm10__mean60s__r5s,0.0
washitsu__sen55_pm4__mean60s__r5s,0.0
washitsu__sen55_pm2_5__mean60s__r5s,0.0
washitsu__sen55_pm1__mean60s__r5s,0.0
washitsu__scd40_hum__mean60s__r5s,0.0
washitsu__scd40_temp__mean60s__r5s,0.0
is_occ_sleeping_room__mean60s__r5s,0.0
washitsu__pir_http_0702__std60s__r5s,0.0
washitsu__sen55_pm10__diff60s__r5s,0.0
sleeping_room__lux(sleeping)__std60s__r5s,0.0
sleeping_room__sen55_voc__std60s__r5s,0.0
sleeping_room__sen55_hum__std60s__r5s,0.0
sleeping_room__sen55_temp__std60s__r5s,0.0
sleeping_room__sen55_pm10__std60s__r5s,0.0
sleeping_room__sen55_pm4__std60s__r5s,0.0
sleeping_room__sen55_pm2_5__std60s__r5s,0.0
sleeping_room__sen55_pm1__std60s__r5s,0.0
sleeping_room__scd40_hum__std60s__r5s,0.0
sleeping_room__scd40_temp__std60s__r5s,0.0
sleeping_room__scd40_co2__std60s__r5s,0.0
sleeping_room__humidity(sleeping)__std60s__r5s,0.0
washitsu__pir_http_0701__std60s__r5s,0.0
sleeping_room__temperature(sleeping)__std60s__r5s,0.0
sleeping_room__co2(sleeping)__std60s__r5s,0.0
sleeping_room__pir_http_1921682121000701__std60s__r5s,0.0
sleeping_room__pir_http_1921682121000702__std60s__r5s,0.0
living__Number of People__std60s__r5s,0.0
living__Occupied__std60s__r5s,0.0
living__pir_http_1921682113000702__std60s__r5s,0.0
living__pir_http_1921682113000701__std60s__r5s,0.0
living__pir_http_1921682114000702__std60s__r5s,0.0
living__pir_http_1921682114000701__std60s__r5s,0.0
sleeping_room__sen55_nox__std60s__r5s,0.0
sleeping_room__door__std60s__r5s,0.0
sleeping_room__sound_amp_door__std60s__r5s,0.0
sleeping_room__sound_trig_door__std60s__r5s,0.0
washitsu__sen55_pm4__diff60s__r5s,0.0
washitsu__sen55_pm2_5__diff60s__r5s,0.0
washitsu__sen55_pm1__diff60s__r5s,0.0
washitsu__scd40_hum__diff60s__r5s,0.0
washitsu__scd40_temp__diff60s__r5s,0.0
washitsu__scd40_co2__diff60s__r5s,0.0
washitsu__sound_trig_door__diff60s__r5s,0.0
washitsu__sound_amp_door__diff60s__r5s,0.0
washitsu__door__diff60s__r5s,0.0
washitsu__mic_occupied__diff60s__r5s,0.0
washitsu__sound_trig_pir__diff60s__r5s,0.0
washitsu__sound_amp_pir__diff60s__r5s,0.0
washitsu__pir2__diff60s__r5s,0.0
washitsu__pir_http_0701__diff60s__r5s,0.0
washitsu__pir_http_0702__diff60s__r5s,0.0
is_occ_living__std60s__r5s,0.0
is_occ_sleeping_room__std60s__r5s,0.0
is_occ_washitsu__std60s__r5s,0.0
sleeping_room__Number of People__std60s__r5s,0.0
sleeping_room__Occupied__std60s__r5s,0.0
sleeping_room__pir2__std60s__r5s,0.0
living__pir_http_1921682115000701__std60s__r5s,0.0
living__pir_http_1921682115000702__std60s__r5s,0.0
living__thermal-1__std60s__r5s,0.0
living__temperature(Living2)__std60s__r5s,0.0
washitsu__Number of People__std60s__r5s,0.0
washitsu__Occupied__std60s__r5s,0.0
washitsu__thermal-1__std60s__r5s,0.0
washitsu__sen55_nox__std60s__r5s,0.0
washitsu__sen55_voc__std60s__r5s,0.0
washitsu__sen55_hum__std60s__r5s,0.0
washitsu__sen55_temp__std60s__r5s,0.0
washitsu__sen55_pm10__std60s__r5s,0.0
washitsu__sen55_pm4__std60s__r5s,0.0
washitsu__sen55_pm2_5__std60s__r5s,0.0
washitsu__sen55_pm1__std60s__r5s,0.0
washitsu__scd40_hum__std60s__r5s,0.0
washitsu__scd40_temp__std60s__r5s,0.0
washitsu__scd40_co2__std60s__r5s,0.0
washitsu__sound_trig_door__std60s__r5s,0.0
washitsu__sound_amp_door__std60s__r5s,0.0
washitsu__door__std60s__r5s,0.0
washitsu__mic_occupied__std60s__r5s,0.0
washitsu__sound_trig_pir__std60s__r5s,0.0
washitsu__sound_amp_pir__std60s__r5s,0.0
washitsu__pir2__std60s__r5s,0.0
living__co2(Living2)__std60s__r5s,0.0
living__humidity(Living2)__std60s__r5s,0.0
living__mic_occupied__std60s__r5s,0.0
living__lux(Living2)__std60s__r5s,0.0
living__sound_trig_pir__std60s__r5s,0.0
living__sound_amp_pir__std60s__r5s,0.0
living__pir2__std60s__r5s,0.0
living__sound_trig_door__std60s__r5s,0.0
living__sound_amp_door__std60s__r5s,0.0
living__door__std60s__r5s,0.0
living__sen55_nox__std60s__r5s,0.0
living__sen55_voc__std60s__r5s,0.0
living__sen55_hum__std60s__r5s,0.0
living__sen55_temp__std60s__r5s,0.0
living__sen55_pm10__std60s__r5s,0.0
living__sen55_pm4__std60s__r5s,0.0
living__sen55_pm2_5__std60s__r5s,0.0
living__sen55_pm1__std60s__r5s,0.0
living__scd40_hum__std60s__r5s,0.0
living__scd40_temp__std60s__r5s,0.0
